chipset,benchmark
Radeon X1950 GT,106
GeForce Go 6800,106
GeForce9400M,106
GeForce 8400M G,105
GeForce 9450,105
Mobility Radeon X1700,105
Radeon HD 6290,105
Quadro FX 3400/4400,104
M880G with Mobility Radeon HD 4250,104
GeForce 9500M,104
FireGL V3400,103
Quadro FX 370 Low Profile,103
GeForce 6800 GS/XT,103
GeForce 9300 GS,102
Mobility Radeon HD 2400 XT,102
Quadro FX Go1400,102
GeForce 8300,102
GeForce 9400M,101
Quadro FX 4000,101
Matrox G200e WDDM 2.0,101
Quadro FX 570M,99
Radeon X1600 Pro,99
Mobility Radeon HD 4250,98
Radeon 3000,98
Mobility Radeon HD 3430,98
ION LE,98
GeForce 9300GE,98
RADEON X800 XT,98
Quadro NVS 130M,97
Mobility Radeon HD serie 4200,97
Radeon HD 3000,96
GeForce 6700 XL,95
MEDION RADEON X740XL,95
Radeon HD 6250,94
Mobility Radeon HD 3470 Hybrid X2,94
Mobility Radeon HD 3470,93
GeForce 9300 GE,93
Quadro FX 370M,93
Mobility Radeon HD 4270,93
M880G with Mobility Radeon HD 4200,93
FireGL V5100,93
Mobility Radeon X1600,92
nForce 780a SLI,92
RADEON X600XT,92
GeForce G205M,92
Mobility Radeon HD 3450,91
Mobility Radeon HD 4200,91
Mobility Radeon HD 2400,90
Matrox G200eW3 WDDM 2.0,90
GeForce 6610 XL,89
GeForce 8600M GS,89
GeForce G 105M,88
Quadro FX 360M,87
GeForce 6600,86
Quadro FX 350,86
GeForce 7500 LE,85
FireGL V3200,85
Radeon X1650 Pro,85
GeForce 9300M G,85
ALL-IN-WONDER X800 GT,84
Radeon X1300 PRO,84
Horizon Indirect Display Driver,84
RADEON X800 GT,84
GeForce 999 GTX,84
Quadro FX 370,84
nForce 750a SLI,83
Radeon HD 3200,82
GeForce 9100,82
RADEON X850 XT Platinum Edition,82
GeForce 7300 LE,82
Mobility Radeon X2500,82
MOBILITY FireGL V5000,82
GeForce 9300 SE,82
GeForce 8400,81
RADEON X800 XT Platinum Edition,81
Mobility Radeon 4100,81
RADEON X850 XT,81
Quadro FX 540,81
GeForce 7300 GS,80
RADEON X800GT,80
GeForce 8100 / nForce 720a,79
Quadro NVS 140M,79
Radeon HD 2350,77
ZX C-960,76
RADEON X700 PRO,76
M860G with Mobility Radeon 4100,76
Radeon X1650 GTO,75
GeForce 7350 LE,74
FireMV 2450,74
Radeon 3100,74
RADEON X800 PRO/GTO,73
Mobility Radeon HD 4300 Serisi,73
RADEON X850 PRO,73
RADEON X700,73
FireGL V7100,72
MEDION RADEON 9800 XXL,72
M880G with Mobility Radeon HD 4225,72
RADEON X700 SE,71
Radeon X1650 SE,71
Radeon X550XTX,71
FireGL V3300,71
Quadro NVS 150M,70
Diamond X1300-PCIE 256MB,70
BASICDISPLAY,70
GeForce Go 6600,69
RADEON X800 XL,69
Radeon X1600 Pro / X1300XT,69
Quadro FX 3000,69
FireGL V3350,69
GeForce 8400 SE,68
GeForce 9100M G,68
Intel G45/G43/G41 Express Chipset,68
Matrox G200eR WDDM 2.0,68
GeForce 9400M G,68
RADEON X600 PRO,67
Quadro NVS 450,67
MOBILITY RADEON X700,67
GeForce 8400M GT,67
Radeon X1550,67
Mobility Radeon HD 4225,66
GeForce Go 7400,66
GeForce 8200M G,65
RADEON X800 PRO,65
ZX C960 GPU,64
Quadro FX 550,64
Sangfor TitanGPU controller,63
Intel Q35 Express,63
Mobility Radeon HD 3410,63
Intel HD manual-15.28-1861,63
GeForce G 103M,63
MOBILITY FireGL V3200,62
SAPPHIRE Radeon X1550,61
MOBILITY RADEON X700 XL,60
Radeon 2100,60
RADEON 9800 PRO,59
Matrox G200e WDDM 1.2,59
GeForce FX 5950 Ultra,59
FireGL X1,59
GeForce 6800 XE,59
Radeon X1300,58
Intel - Express Chipset Q45/Q43,58
RADEON 9800,58
Intel G41 Express-Chipsatz,57
Intel Q45/Q43 Express-Chipsatz,57
RADEON 9800 XT,57
Intel - Express Chipset G41,57
RADEON X600 256MB HyperMemory,57
RADEON X550XT,56
RADEON 9700 PRO,54
FireGL V3100,53
Red Hat QXL controller,52
Radeon Xpress 1300,52
GeForce Go 7300,52
Matrox G200eh WDDM 1.2,52
GeForce 6200 TurboCache,52
RADEON E2400,52
GeForce FX Go5700,51
GeForce 6600 LE,51
GeForce 7100 GS,51
FirePro 2450,51
RADEON X550,51
Mobility Radeon HD 2300,51
Quadro NVS 135M,50
MOBILITY RADEON X600,50
Matrox G200eW WDDM 1.2,50
Matrox G200eh WDDM 2.0,50
Radeon X1600,49
MOBILITY RADEON X600 SE,49
Radeon X1050,49
RADEON X600 SE,49
Mobility Radeon X2300 HD,49
Mobility Radeon X2300,48
GeForce 7300 SE/7200 GS,48
Radeon X1550 64-bit,48
Quadro NVS 110M,48
SAPPHIRE RADEON 9600 ATLANTIS,47
Quadro NVS 120M,47
Mobile Intel 965 Express,46
MOBILITY RADEON 9800,46
FireMV 2250,46
Matrox M9188 ATX PCIe x16,46
Matrox G200eR WDDM 1.2,45
GeForce Go 7200,45
MOBILITY FireGL V5200,45
GeForce Go 6600 TE/6200 TE,45
Quadro FX 350M,45
Mobile Intel serie 4 Express,45
Mobile Intel 4 Express-Chipsatzfamilie,45
Radeon 9700 TX w/TV-Out,44
Quadro NVS 285,43
Mobility Radeon X1400,43
RADEON 9600 PRO,43
Radeon Xpress 1250,43
Matrox M9138 LP PCIe x16,42
GeForce 7100 / nForce 630i,42
RADEON 9500 PRO / 9700,42
GeForce 7050 / nForce 620i,42
GeForce FX 5900 Ultra,41
GeForce FX 5700,41
MOBILITY FIREGL T2,41
Matrox G200eh,41
Radeon Xpress 1300M,40
Matrox M9148 LP PCIe x16,40
GeForce FX 5900XT,40
Mobility Radeon X1350,40
Matrox G200eW,40
Mobility Radeon X1300,40
S3 Chrome 430 ULP,40
MOBILITY RADEON 9600/9700,39
GeForce 7300 SE,39
Mobile Intel - famiglia Express Chipset 45,39
GeForce 6500,38
Quadro NVS 285 128MB,38
Mobile Intel 45 Express,38
RADEON X300SE,38
GeForce 7050 / nForce 630i,38
256MB DDR Radeon 9800 XT,38
Intel G33/G31 Express,38
Quadro NVS 440,38
GeForce 6200,37
Radeon X1250,37
GeForce 6200SE TurboCache,37
Matrox G200eR,37
CONNECT 3D RADEON X300,36
RADEON 9500,36
FireMV 2200 PCIe,36
MOBILITY RADEON 9600,36
Quadro FX 1100,36
Radeon Xpress 1200,36
Intel 1st Generation Intel HD,35
RADEON 9600 XT,35
GeForce PCX 5750,35
RADEON 9550,35
GeForce FX 5900,35
Quadro FX 1300,34
Quadro FX 1000,34
GeForce FX 5700 Ultra,34
GeForce PCX 5900,34
Radeon Xpress 1100,34
MOBILITY RADEON X300,34
MOBILITY FIREGL T2/T2e,34
S3 Chrome S27 DDR3,33
GeForce 6150 LE,33
Mobility Radeon X1450,33
GeForce FX 5700VE,33
GeForce 7150 / nForce 630i,33
Intel Media Accelerator,33
GeForce 6200 LE,33
GeForce 7025 / nForce 630a,33
GeForce FX 5900ZT,33
Radeon X1200,33
GeForce 6200 A-LE,32
Matrox M9128 LP PCIe x16,32
GeForce 7050 PV / nForce 630a,31
Radeon X1270,31
FireGL T2-128,31
GeForce 6150SE nForce 430,31
MOBILITY RADEON 9550,30
All-in-Wonder X1800XL,30
Radeon Xpress 1150,30
RADEON XPRESS 200,30
Radeon 9550 / X1050,29
MOBILITY RADEON 9700,27
MOBILITY FireGL V5250,27
RADEON 9600SE,27
GeForce 6100,27
MOBILITY RADEON XPRESS 200,27
GeForce 6100 nForce 405,27
RADEON 9600 PRO Family,27
Radeon Xpress 1270,27
GeForce 7100 / nForce 620i,26
PHDGD Sapphire GR for Mobile Intel 965,26
Matrox M9120 Plus LP PCIe x16,26
GeForce 7050 / nForce 610i,26
Matrox M9125 PCIe x16,26
GeForce 6100 nForce 420,25
GeForce 6100 nForce 400,25
RADEON 9600 Family,25
MOBILITY RADEON 9600 PRO TURBO,25
GeForce 6150SE,25
GeForce FX 5700LE,25
GeForce Go 6400,24
Mobile Intel 965 Express-Chipsatzfamilie,24
Quadro NVS 210S,24
RADEON 9800 SE,24
Matrox M9140 LP PCIe x16,23
ALL-IN-WONDER 9800,23
GeForce 7200 GS,23
GeForce 6100 nForce 430,23
S3 Chrome S25,23
RADEON A9800XT,23
RADEON XPRESS 200M,23
GeForce 6150,22
Quadro NVS 210S / GeForce 6150LE,21
PHDGD Solo 2 x64,20
Matrox M9120 PCIe x16,20
GeForce Go 6150,19
QXL KMDOD,19
S3 Chrome S25 DDR2,18
RADEON 9600 TX Family,18
GeForce 7150M / nForce 630M,18
RADEON XPRESS 200 CROSSFIRE,18
Quadro FX 2000,18
GeForce Go 6100,18
GeForce FX Go 5600,18
Mobile Intel965 Express,18
GeForce FX 5600 Ultra,17
GeForce FX Go5650,17
GRID V100-8Q,16
NV44,15
GeForce Go 6200,15
Quadro FX 500/600 PCI,14
Radeon HD 2400 PCI,14
GeForce 7000M,13
GeForce 7000M / nForce 610M,13
GeForce FX 5600,13
GeForce FX Go5300,13
GeForce FX 5200 Ultra,12
GeForce FX 5200SE,12
FireMV 2400 PCIe,11
RGH Drivers v3,11
PHDGD Solo 1.2.0 x86,11
Master X3100 Driver,10
MOBILITY IGP 9000/9100,10
VIA Chrome9 HD IGP,10
Intel 82945G Express,10
Matrox Parhelia 256MB,9
ASUS A7000,9
GeForce FX 5600XT,9
GeCube RADEON 7000,9
GeForce FX Go 5200,8
Intel Q35 Embedded,8
GeForce FX 5500,8
Mobile Intel 965 Express - BR-0907-0461 v1839,8
Quadro NVS 280 PCI,8
Intel 82945G Express-Chipsatzfamilie,8
MOBILITY RADEON 9000 IGP,8
GeForce FX 5100,8
ASUS V9520-X V62.11,8
Quadro FX 500/FX 600,8
GeForce FX 5200,8
Intel US15 Embedded Media and Controller,7
Intel Q33 Express,7
GeForce4 Ti 4400,7
GeForce FX 5200LE,7
Intel Media Accelerator 600,7
GeForce4 Ti 4800 SE,7
Matrox Millennium P690 Plus LP PCIe x16,7
Quadro4 380 XGL,7
RADEON 8500 Family,7
GeForce4 MX Integrated GPU,7
V9560XT,6
GeForce2 Ultra,6
MOBILITY RADEON 7000 IGP,6
GeForce PCX 5300,6
RADEON 9100 Family,6
Quadro NVS 55/280 PCI,6
RADEON IGP 350M,6
GeForce4 440 Go 64M,6
VIA/S3G UniChromeII,6
GeForce4 Ti 4800,6
Mobile Intel 945GM Express,6
Quadro 280 NVS PCIe,6
NVIDIA GeForce3 Ti200,6
Intel 82915G Express,6
MOBILITY RADEON 9000/9100 IGP,6
Matrox Parhelia APVe,6
ALL-IN-WONDER RADEON 8500DV,6
GeForce4 Ti 4200,6
GeForce4 448 Go,6
GeForce4 Ti 4600,6
RADEON 9100 IGP,5
GeForce4 420 Go 32M,5
Matrox Millennium P650 PCIe 128,5
Mobile Intel 945GM/GU Express,5
SAPPHIRE RADEON 9000 ATLANTIS PRO,5
Xabre,5
GeForce 256,5
Quadro4 980 XGL,5
GeForce4 440,5
Quadro4 900 XGL,5
ALL-IN-WONDER 9000,5
GeForce3,5
GeForce4 MX 440 with AGP8X,5
WinFast A250 LE,5
GeForce2 MX with DVI-D and TV-out,5
GeForce4 MX 420,5
MOBILITY FIREGL 7800,5
RADEON 7500 Family,5
VIA/S3G UniChrome Pro IGP,5
Intel 82865G Controller,5
Intel 915G/915GV/910GL Embedded Controller Functio,5
RADEON 9000,5
GeForce2 Ti,5
XGI Volari Family v1.13.23.D_V,5
GeForce4 MX 440SE,5
GeForce4 MX 440,5
Quadro2 MXR/EX,5
Intel 945G Embedded Chipset Function 0,5
GeForce4 MX 4000,5
ASUS AGP-V3800PRO v31.40H,5
GeForce2 Integrated GPU,4
Dell 8200,4
VIA Chrome9 HC IGP,4
VIA/S3G UniChrome IGP,4
GeForce4 MX 460,4
GeForce2 Go,4
MOBILITY/RADEON 9000,4
GeForce3 Ti 200,4
VIA/S3G KM400/KN400,4
"Intel 915G,910G Express",4
GeForce2 GTS/GeForce2 Pro,4
GeForce4 4200 Go,4
GeForce2 MX/MX 400,4
ABIT Siluro T400,4
VIA Chrome9 HC IGP Family,4
RADEON 7000 / RADEON VE Family,4
RIVA TNT2 Model 64/Model 64 Pro,4
RADEON IGP 320,4
GeForce4 440 Go,4
Intel 82915G/915GV/910GL,4
Intel 865 Embedded Controller,4
GeForce 6200A,4
RADEON 9200,4
MOBILITY RADEON 7500,4
Radeon IGP 320M,4
RADEON 9000 Family,4
VIA Chrome9 HC IGP Family WDDM,4
Intel Media Accelerator 500,3
RIVA TNT2/TNT2 Pro,3
Matrox Parhelia 128MB,3
VIA Chrome9 HC IGP WDDM 1.1,3
GeForce4 420 Go,3
VIA/S3G DeltaChrome IGP,3
MOBILITY RADEON 9000,3
GeForce2 MX 100/200,3
Intel 946GZ Embedded Chipset,3
RADEON 7500,3
S3 Inc. Savage4,3
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3
Rage Fury Pro/Xpert 2000 Pro,3
Intel 82915G/GV/910GL Express,3
Vanta/Vanta LT,3
MOBILITY RADEON 9200,3
MOBILITY RADEON 9100 IGP,3
Intel Media Accelerator 3150,3
Intel 82845G/GL/GE/PE/GV Controller,3
RADEON 7200,3
RADEON 9200 PRO Family,3
GeForce2 MX,3
RADEON IGP 345M,3
Radeon 7000 / Radeon VE,3
VIA Chrome9 HC3 IGP,3
Intel 82915G/GV/910GL Advanced v3.5,3
Intel 82845G/GL Controller,3
RADEON 9200 LE Family,3
RADEON 9250,3
GeForce2 MX with TV Out,3
RADEON 9200 SE,3
GeForce3 Ti 500,3
Intel GMA 3150 Express,3
Radeon IGP 340M,3
Quadro NVS 280 SD,2
VIA Chrome9 HC IGP WDDM,2
Dell 8100,2
VIA Chrome9 HC IGP Prerelease WDDM 1.1,2
Intel 82845G Controller,2
Radeon VE,2
Intel 946GZ Express,2
Intel Extreme Controller,2
S3 SuperSavage/IXC 1014,2
VisionTek Radeon 7000,2
Mobile Intel 915GM/GMS/910GML Express,2
Mobile Intel 945 Express,2
VIA Chrome9 HCM IGP,2
RADEON IGP 34xM,2
S3 ProSavageDDR,1
Rage 128 Pro,1
VIA Chrome9 HC3 IGP WDDM 1.1,1
Intel 82852/82855 GM/GME Controller,1
RAGE 128 PRO AGP 4X TMDS,1
Quadro2 Pro,1
FireMV 2200 PCI,1
